date,task,tags
2024-11-02,"Payer le loyer",Person|Admin
2024-11-04,"Person - Admin - Finance -  Essayer Navigo directement sur Mobile pour Novembre",Person
2024-11-04,"Person - Admin - Finance -  Cut Anthropic Membership",Finance|Person
2024-11-04,"Dimitile - Admin - 2024-11-16- Comptabilité des loyers du mois en cours - Produire et envoyer les échéances",Dimitile|RecurringAdmin
2024-11-04,"Person - Admin - Booker vacances avec Thomas",Person
2024-11-04,"Person - Admin - 2024-11-04 - Traitement du salaire - Valider réception",Person|RecurringAdmin
2024-11-04,"Person - Admin - Novembre - Virement loyer, MCC, épargne",Person
2024-11-04,"Reload Anthropic Budget",Pitsana
2024-11-04,"MAJ Linked In & Malt - Availabilities",Pitsana
2024-11-04,"Complete the Accor To Do List",Accor
2024-11-04,"Add Signatures to ‘Mail’ Apple",Person|Admin
2024-11-04,"Pitsana - Admin - 2024-11-04 - Comptabilité générale - Pitsana - Ajout des justificatifs et Relevé de comptes",Pitsana|RecurringAdmin
2024-11-04,"Dimitile - Admin - 2024-11-04 - Comptabilité générale - Dimitile - Ajout des justificatifs et Relevé de comptes ",Dimitile|RecurringAdmin
2024-11-04,"Noram - Admin - 2024-11-04 - Comptabilité générale - Noram - Ajout des justificatifs et Relevé de comptes ",RecurringAdmin|Noram
2024-11-04,"Paiement et lancement Fidecorex comptabilité du groupe",Noram
2024-11-04,"Person - Admin - Récupérer Créances Création Société https://docs.google.com/spreadsheets/d/1fMgCiDFsfpGoLim1hmfKLURPejOcaIKlbPTUxdWfpDs/editgid=0Récupérer Créances Création Société",Admin|Person
2024-11-04,"Noram - Admin - 2024-11-01 - Comptabilité générale",RecurringAdmin|Noram
2024-11-04,"CS50 - Complete the course, take note + Flashcards and do exercises for week 3",CertifiedTraining|Research
2024-11-04,"Groceries",Person
2024-11-04,"Appeler Thomas",Person
2024-11-04,"Appeler Manon",Person
2024-11-04,"Appeler Izabela",Person
2024-11-05,"Avocado",
2024-11-05,"Frozen fruits",
2024-11-05,"Quinoa",
2024-11-05,"Corals Lentils",
2024-11-05,"Soja dessert",
2024-11-05,"Bread",
2024-11-05,"Envoyer un POC de Dashboard Release Management dont PI Burndown Chart",Accor
2024-11-05,"Implement a “Feature readiness checklist” in Jira",Accor
2024-11-05,"Send RACI to Jelena",
2024-11-05,"Relancer les calls de suivi des tâches Cloud Ops avec Chefs de projets",Accor
2024-11-05,"iOS Shortcut: Highlight this. ShareSheet. ChatGPT App",Person|System
2024-11-05,"Person - Appeler Manon",Person
2024-11-05,"Proposer à Julien de s’inscrire à une course intermédiaire. Appeler Julien",Person
2024-11-06,"Create a workflow shortcut to automate answering to a mission proposal",Person|System
2024-11-06,"Person - Réservation de mes vacances de fin d’année",Person
2024-11-06,"Person - Admin - 2024-11-04 - Traitement du salaire - MAJ des documents de suivi financier + Relevé de comptes",RecurringAdmin|Person
2024-11-06,"Person - Admin - 2024-11-04 - Traitement du salaire - Payer Loyer, MCC & autres créances mensuelles, virement sur comptes épargnes",Person|RecurringAdmin
2024-11-06,"Person - Admin - 2024-11-01- Traitement du salaire",RecurringAdmin|Person
2024-11-06,"Person - Admin - Novembre - MAJ fichier budget + relevé comptable",Person
2024-11-06,"Relaxing Daily Care Routine",System|Person|Health
2024-11-07,"Analyser les Backlogs fournis par Jelena et lui donner des recommendations et lui proposer un call",Accor
